Gene stable ID,Gene name,FlyBase annotation ID,Gene type,Gene description
FBgn0265863,CR44652,CR44652,ncRNA,CR44652
FBgn0030663,CG8117,CG8117,protein_coding,CG8117
FBgn0053820,CG33820,CG33820,protein_coding,CG33820
FBgn0267010,CR45454,CR45454,ncRNA,CR45454
FBgn0262813,CG43184,CG43184,protein_coding,CG43184
FBgn0035372,CG12093,CG12093,protein_coding,CG12093
FBgn0261395,Prosalpha3T,CG1736,protein_coding,"Proteasome alpha3 subunit, Testis-specific"
FBgn0045827,CG13245,CG13245,protein_coding,CG13245
FBgn0031289,CG13950,CG13950,protein_coding,CG13950
FBgn0037464,Mst84B,CG1988,protein_coding,Male-specific transcript 84B
FBgn0264449,CG43867,CG43867,protein_coding,CG43867
FBgn0053329,Sp212,CG33329,protein_coding,Serine-peptidase 212
FBgn0259950,CG42460,CG42460,protein_coding,CG42460
FBgn0040719,CG15357,CG15357,protein_coding,CG15357
FBgn0029837,Tsp5D,CG4690,protein_coding,Tetraspanin 5D
FBgn0267141,CR45581,CR45581,ncRNA,CR45581
FBgn0036590,CG13065,CG13065,protein_coding,CG13065
FBgn0034118,Nup62,CG6251,protein_coding,Nucleoporin 62kD
FBgn0263025,HSPBAP1,CG43320,protein_coding,HSPB1 associated protein 1
FBgn0031893,MICU1,CG4495,protein_coding,Mitochondrial calcium uptake 1
FBgn0267160,CR45600,CR45600,ncRNA,CR45600
FBgn0000594,Est-P,CG17148,protein_coding,Esterase P
FBgn0267990,CR46257,CR46257,ncRNA,CR46257
FBgn0264472,CG43880,CG43880,protein_coding,CG43880
FBgn0085432,pan,CG34403,protein_coding,pangolin
FBgn0050025,CG30025,CG30025,protein_coding,CG30025
FBgn0003996,w,CG2759,protein_coding,white
FBgn0289122,Ino80,CG31212,protein_coding,INO80 complex subunit
FBgn0030876,Srx,CG6762,protein_coding,Sulfiredoxin
FBgn0051793,CG31793,CG31793,protein_coding,CG31793
FBgn0033313,Cirl,CG8639,protein_coding,Calcium-independent receptor for alpha-latrotoxin
FBgn0262895,CR43250,CR43250,ncRNA,CR43250
FBgn0263603,Zn72D,CG5215,protein_coding,Zinc-finger protein at 72D
FBgn0053355,CR33355,CR33355,rRNA,CR33355
FBgn0262372,mir-3,CR42890,ncRNA,mir-3 stem loop
FBgn0267443,CR45793,CR45793,ncRNA,CR45793
FBgn0261675,Npc1b,CG12092,protein_coding,Niemann-Pick type C-1b
FBgn0039595,AstA-R2,CG10001,protein_coding,Allatostatin A receptor 2
FBgn0014903,CG14630,CG14630,protein_coding,CG14630
FBgn0267865,CR46153,CR46153,ncRNA,CR46153
FBgn0033683,CG18343,CG18343,protein_coding,CG18343
FBgn0283451,br,CG11491,protein_coding,broad
FBgn0033608,CG13220,CG13220,protein_coding,CG13220
FBgn0262892,CR43247,CR43247,ncRNA,CR43247
FBgn0039904,Hcf,CG1710,protein_coding,Host cell factor
FBgn0033985,CG10257,CG10257,protein_coding,CG10257
FBgn0034837,RpL22-like,CG9871,protein_coding,Ribosomal protein L22-like
FBgn0263647,CG43638,CG43638,protein_coding,CG43638
FBgn0039238,CG7016,CG7016,protein_coding,CG7016
FBgn0033187,PIG-G,CG2144,protein_coding,Phosphatidylinositol glycan anchor biosynthesis class G
FBgn0085693,CG41562,CG41562,protein_coding,CG41562
FBgn0262355,CR43053,CR43053,ncRNA,CR43053
FBgn0267879,CR46167,CR46167,pseudogene,CR46167
FBgn0038204,CG14357,CG14357,protein_coding,CG14357
FBgn0051788,CG31788,CG31788,protein_coding,CG31788
FBgn0030195,CG2898,CG2898,protein_coding,CG2898
FBgn0037794,CG6254,CG6254,protein_coding,CG6254
FBgn0034049,bdg,CG8291,protein_coding,bedraggled
FBgn0051064,CG31064,CG31064,protein_coding,CG31064
FBgn0031045,CG14212,CG14212,protein_coding,CG14212
FBgn0267170,CR45610,CR45610,ncRNA,CR45610
FBgn0029157,ssh,CG6238,protein_coding,slingshot
FBgn0035488,CG11593,CG11593,protein_coding,CG11593
FBgn0265542,CR44392,CR44392,ncRNA,CR44392
FBgn0035508,CG15005,CG15005,protein_coding,CG15005
FBgn0036499,CG7276,CG7276,protein_coding,CG7276
FBgn0263330,CR43411,CR43411,ncRNA,CR43411
FBgn0051265,CG31265,CG31265,protein_coding,CG31265
FBgn0032524,Hacd2,CG9267,protein_coding,3-hydroxyacyl-CoA dehydratase 2
FBgn0039670,CG7567,CG7567,protein_coding,CG7567
FBgn0265537,CR44387,CR44387,ncRNA,CR44387
FBgn0052425,CG32425,CG32425,protein_coding,CG32425
FBgn0035924,CG6576,CG6576,protein_coding,CG6576
FBgn0011206,bol,CG4760,protein_coding,boule
FBgn0001994,crp,CG7664,protein_coding,cropped
FBgn0029526,CR18166,CR18166,pseudogene,CR18166
FBgn0032476,CG5439,CG5439,protein_coding,CG5439
FBgn0031877,Hmgcl,CG10399,protein_coding,3-Hydroxymethyl-3-methylglutaryl-CoA lyase
FBgn0034274,CG10931,CG10931,protein_coding,CG10931
FBgn0267801,CR46126,CR46126,ncRNA,CR46126
FBgn0262376,mir-219,CR42897,ncRNA,mir-219 stem loop
FBgn0267568,CR45908,CR45908,ncRNA,CR45908
FBgn0033297,Mal-A8,CG8690,protein_coding,Maltase A8
FBgn0265201,CG44261,CG44261,protein_coding,CG44261
FBgn0037562,Nazo,CG11671,protein_coding,CG11671
FBgn0050374,CR30374,CR30374,pseudogene,CR30374
FBgn0004198,ct,CG11387,protein_coding,cut
FBgn0033483,egr,CG12919,protein_coding,eiger
FBgn0263601,mib1,CG5841,protein_coding,mind bomb 1
FBgn0053548,SmydA-8,CG33548,protein_coding,"SET and MYND domain containing, arthropod-specific, member 8"
FBgn0037608,mRpL19,CG8039,protein_coding,mitochondrial ribosomal protein L19
FBgn0050364,hubl,CG30364,protein_coding,hug-bell
FBgn0030795,ppk28,CG4805,protein_coding,pickpocket 28
FBgn0033788,CG13323,CG13323,protein_coding,CG13323
FBgn0264490,Eip93F,CG18389,protein_coding,Ecdysone-induced protein 93F
FBgn0039769,CG15534,CG15534,protein_coding,CG15534
FBgn0266939,CR45390,CR45390,ncRNA,CR45390
FBgn0267032,CR45476,CR45476,ncRNA,CR45476
FBgn0262144,CG42870,CG42870,protein_coding,CG42870
FBgn0267960,CR46240,CR46240,ncRNA,CR46240
FBgn0267612,CR45950,CR45950,ncRNA,CR45950
FBgn0004514,Oct-TyrR,CG7485,protein_coding,Octopamine-Tyramine receptor
FBgn0039058,VhaAC39-2,CG4624,protein_coding,Vacuolar H[+] ATPase AC39 subunit 2
FBgn0083943,CG34107,CG34107,protein_coding,CG34107
FBgn0037816,CG6345,CG6345,protein_coding,CG6345
FBgn0029816,CG12729,CG12729,protein_coding,CG12729
FBgn0039811,CG15550,CG15550,protein_coding,CG15550
FBgn0022355,Tsf1,CG6186,protein_coding,Transferrin 1
FBgn0267618,CR45956,CR45956,ncRNA,CR45956
FBgn0032303,CG6508,CG6508,protein_coding,CG6508
FBgn0051380,CG31380,CG31380,protein_coding,CG31380
FBgn0034920,CG5597,CG5597,protein_coding,CG5597
FBgn0034803,CG9849,CG9849,protein_coding,CG9849
FBgn0031598,Vps53,CG3338,protein_coding,Vacuolar protein sorting 53
FBgn0063391,30Eb,CR32876,snoRNA,30Eb
FBgn0266304,CR44969,CR44969,ncRNA,CR44969
FBgn0289438,CR46529,CR46529,ncRNA,CR46529
FBgn0263579,mir-4947,CR43564,ncRNA,mir-4947 stem loop
FBgn0033376,CG8777,CG8777,protein_coding,CG8777
FBgn0036608,CG13040,CG13040,protein_coding,CG13040
FBgn0264504,CR43903,CR43903,ncRNA,CR43903
FBgn0025835,CG17707,CG17707,protein_coding,CG17707
FBgn0027111,miple1,CG1221,protein_coding,midkine and pleiotrophin 1
FBgn0013263,Trl,CG33261,protein_coding,Trithorax-like
FBgn0042213,CG18731,CG18731,protein_coding,CG18731
FBgn0036681,Obp73a,CG13027,protein_coding,Odorant-binding protein 73a
FBgn0264819,CR44027,CR44027,ncRNA,CR44027
FBgn0034083,lbk,CG8434,protein_coding,lambik
FBgn0033855,link,CG13333,protein_coding,link
FBgn0038946,rdhB,CG7077,protein_coding,retinol dehydrogenase B
FBgn0031302,CG14340,CG14340,protein_coding,CG14340
FBgn0041236,Gr59d,CG30330,protein_coding,Gustatory receptor 59d
FBgn0085472,CG34443,CG34443,protein_coding,CG34443
FBgn0035070,CG3650,CG3650,protein_coding,CG3650
FBgn0002791,mr,CG3060,protein_coding,morula
FBgn0263630,mir-3641,CR43520,ncRNA,mir-3641 stem loop
FBgn0267590,CR45928,CR45928,ncRNA,CR45928
FBgn0010762,simj,CG32067,protein_coding,simjang
FBgn0025678,CaBP1,CG5809,protein_coding,calcium-binding protein 1
FBgn0035866,Arl5,CG7197,protein_coding,ADP-ribosylation factor-like 5
FBgn0031434,insv,CG3227,protein_coding,insensitive
FBgn0033232,CG12159,CG12159,protein_coding,CG12159
FBgn0052479,Usp10,CG32479,protein_coding,Ubiquitin specific protease 10
FBgn0035569,CG15876,CG15876,protein_coding,CG15876
FBgn0266352,CR45001,CR45001,ncRNA,CR45001
FBgn0032587,CG5953,CG5953,protein_coding,CG5953
FBgn0027594,drpr,CG2086,protein_coding,draper
FBgn0038705,CG11626,CG11626,protein_coding,CG11626
FBgn0053873,CG33873,CG33873,protein_coding,CG33873
FBgn0032329,Art8,CG16840,protein_coding,Arginine methyltransferase 8
FBgn0264912,CR44103,CR44103,ncRNA,CR44103
FBgn0039479,CG14257,CG14257,protein_coding,CG14257
FBgn0050393,CG30393,CG30393,protein_coding,CG30393
FBgn0015221,Fer2LCH,CG1469,protein_coding,Ferritin 2 light chain homologue
FBgn0032085,CG9555,CG9555,protein_coding,CG9555
FBgn0034618,CG9485,CG9485,protein_coding,CG9485
FBgn0026874,CG13358,CG13358,protein_coding,CG13358
FBgn0033497,CG12912,CG12912,protein_coding,CG12912
FBgn0034201,CG17290,CG17290,protein_coding,CG17290
FBgn0039504,CG14260,CG14260,protein_coding,CG14260
FBgn0038211,CG9649,CG9649,protein_coding,CG9649
FBgn0034894,sigmar,CG4091,protein_coding,salivary glands marred
FBgn0040475,SH3PX1,CG6757,protein_coding,SH3 and PX domain containing 1
FBgn0030889,CG15373,CG15373,protein_coding,CG15373
FBgn0265544,CR44394,CR44394,pseudogene,CR44394
FBgn0266020,CR44785,CR44785,ncRNA,CR44785
FBgn0034612,CG10505,CG10505,protein_coding,CG10505
FBgn0265157,CR44226,CR44226,ncRNA,CR44226
FBgn0259859,CR42428,CR42428,ncRNA,CR42428
FBgn0267181,CR45621,CR45621,ncRNA,CR45621
FBgn0051871,CG31871,CG31871,protein_coding,CG31871
FBgn0051228,Pro-TGG-1-5,CR31228,tRNA,Proline-TGG 1-5
FBgn0053447,CR33447,CR33447,rRNA,CR33447
FBgn0035025,uri,CG11416,protein_coding,unconventional prefoldin RPB5 interactor
FBgn0002775,msl-3,CG8631,protein_coding,male-specific lethal 3
FBgn0029961,Ir7a,CG12663,protein_coding,Ionotropic receptor 7a
FBgn0053859,CG33859,CG33859,protein_coding,CG33859
FBgn0263766,CR43683,CR43683,ncRNA,CR43683
FBgn0045469,Gr93c,CG31173,protein_coding,Gustatory receptor 93c
FBgn0051888,Asp-GTC-1-9,CR31888,tRNA,Aspartic acid-GTC 1-9
FBgn0267023,CR45467,CR45467,ncRNA,CR45467
FBgn0029700,CG15576,CG15576,protein_coding,CG15576
FBgn0267464,CR45814,CR45814,ncRNA,CR45814
FBgn0024836,stan,CG11895,protein_coding,starry night
FBgn0266831,CR45293,CR45293,ncRNA,CR45293
FBgn0025381,rush,CG14782,protein_coding,rush hour
FBgn0267050,CG45494,CG45494,protein_coding,CG45494
FBgn0045073,Stim,CG9126,protein_coding,Stromal interaction molecule
FBgn0037406,Osi1,CG15585,protein_coding,Osiris 1
FBgn0259231,CCKLR-17D1,CG42301,protein_coding,Cholecystokinin-like receptor at 17D1
FBgn0052983,CG32983,CG32983,protein_coding,CG32983
FBgn0030998,CG14195,CG14195,protein_coding,CG14195
FBgn0032595,CG17996,CG17996,protein_coding,CG17996
FBgn0052072,Elo68alpha,CG32072,protein_coding,Elongase 68alpha
FBgn0035627,Sse,CG10583,protein_coding,Separase
FBgn0013696,Ile-GAT,CR34060,tRNA,Isoleucine-GAT
FBgn0038747,RhoGAP92B,CG4755,protein_coding,Rho GTPase activating protein at 92B
FBgn0083022,Psi18S-640e,CR34581,snoRNA,Psi18S-640e
FBgn0040923,CG11368,CG11368,protein_coding,CG11368
FBgn0286726,Or-ACA6,CR46368,snoRNA,Orphan H/ACA box 6
FBgn0015754,Lis-1,CG8440,protein_coding,Lissencephaly-1
FBgn0028377,gdl-ORF39,CG33755,protein_coding,gdl-ORF39
FBgn0264672,Eogt,CG9867,protein_coding,EGF-domain O-GlcNAc transferase
FBgn0286737,Or-CD16,CR46379,ncRNA,Orphan CD box 16
FBgn0261849,CG42781,CG42781,protein_coding,CG42781
FBgn0086445,l(2)37Cd,CG10563,protein_coding,lethal (2) 37Cd
FBgn0038387,blp,CG5268,protein_coding,black pearl
FBgn0032525,Hsp60D,CG16954,protein_coding,Heat shock protein 60D
FBgn0265649,CR44456,CR44456,ncRNA,CR44456
FBgn0016930,Dyrk2,CG4551,protein_coding,Dual-specificity tyrosine phosphorylation-regulated kinase 2
FBgn0034565,CG15650,CG15650,protein_coding,CG15650
FBgn0262994,CR43302,CR43302,ncRNA,CR43302
FBgn0051301,CG31301,CG31301,protein_coding,CG31301
FBgn0004882,orb,CG10868,protein_coding,oo18 RNA-binding protein
FBgn0032026,CG7627,CG7627,protein_coding,CG7627
FBgn0036967,SCCRO4,CG6597,protein_coding,Squamous cell carcinoma-related oncogene 4
FBgn0032727,Bhmt,CG10623,protein_coding,Betaine-homocysteine S-methyltransferase
FBgn0011746,ana,CG8084,protein_coding,anachronism
FBgn0026089,CG14817,CG14817,protein_coding,CG14817
FBgn0033134,Tsp42El,CG12840,protein_coding,Tetraspanin 42El
FBgn0015818,Spx,CG3780,protein_coding,Spliceosomal protein on the X
FBgn0020642,Lcp65Ac,CG6956,protein_coding,Lcp65Ac
FBgn0033541,CG12934,CG12934,protein_coding,CG12934
FBgn0053003,CG33003,CG33003,protein_coding,CG33003
FBgn0051514,CR31514,CR31514,ncRNA,CR31514
FBgn0030703,MSBP,CG9066,protein_coding,membrane steroid binding protein
FBgn0030258,CG1552,CG1552,protein_coding,CG1552
FBgn0053874,CG33874,CG33874,protein_coding,CG33874
FBgn0029881,pigs,CG3973,protein_coding,pickled eggs
FBgn0266705,CR45195,CR45195,ncRNA,CR45195
FBgn0036005,pall,CG3428,protein_coding,pallbearer
FBgn0040261,Ugt37E1,CG13271,protein_coding,UDP-glycosyltransferase family 37 member E1
FBgn0051472,sgll,CG31472,protein_coding,sugarlethal
FBgn0039767,CG2218,CG2218,protein_coding,CG2218
FBgn0016123,Alp4,CG1462,protein_coding,Alkaline phosphatase 4
FBgn0037654,CG11983,CG11983,protein_coding,CG11983
FBgn0030742,CG9919,CG9919,protein_coding,CG9919
FBgn0034919,CG5569,CG5569,protein_coding,CG5569
FBgn0011236,ken,CG5575,protein_coding,ken and barbie
FBgn0024194,rasp,CG11495,protein_coding,rasp
FBgn0003134,Pp1alpha-96A,CG6593,protein_coding,Protein phosphatase 1alpha at 96A
FBgn0265058,CR44169,CR44169,ncRNA,CR44169
FBgn0086368,tw,CG12311,protein_coding,twisted
FBgn0030555,Fbxl4,CG1839,protein_coding,F box and leucine-rich-repeat gene 4
FBgn0036262,Miox,CG6910,protein_coding,Myo-inositol oxygenase
FBgn0019938,Polr1A,CG10122,protein_coding,RNA polymerase I subunit A
FBgn0264915,CR44106,CR44106,ncRNA,CR44106
FBgn0283494,Ak2,CG3140,protein_coding,Adenylate kinase 2
FBgn0054008,CG34008,CG34008,protein_coding,CG34008
FBgn0036390,CG13738,CG13738,protein_coding,CG13738
FBgn0266434,CG45064,CG45064,protein_coding,CG45064
FBgn0039071,bb8,CG4434,protein_coding,big bubble 8
FBgn0052272,Lys-CTT-1-13,CR32272,tRNA,Lysine-CTT 1-13
FBgn0038612,cona,CG7676,protein_coding,corona
FBgn0032156,CG13124,CG13124,protein_coding,CG13124
FBgn0265299,CR44272,CR44272,ncRNA,CR44272
FBgn0029067,Dd,CG1696,protein_coding,Dullard
FBgn0050259,CG30259,CG30259,protein_coding,CG30259
FBgn0053629,CR33629,CR33629,pseudogene,CR33629
FBgn0028662,VhaPPA1-1,CG7007,protein_coding,Vacuolar H[+] ATPase PPA1 subunit 1
FBgn0053557,CG33557,CG33557,protein_coding,CG33557
FBgn0083985,CG34149,CG34149,protein_coding,CG34149
FBgn0031515,CG9664,CG9664,protein_coding,CG9664
FBgn0267300,CR45736,CR45736,ncRNA,CR45736
FBgn0034825,Gpdh2,CG3215,protein_coding,Glycerol-3-phosphate dehydrogenase 2
FBgn0267462,CR45812,CR45812,ncRNA,CR45812
FBgn0039257,tnc,CG13648,protein_coding,tenectin
FBgn0267084,CR45528,CR45528,ncRNA,CR45528
FBgn0035041,CG13594,CG13594,protein_coding,CG13594
FBgn0262437,mir-274,CR42996,ncRNA,mir-274 stem loop
FBgn0034143,CG8303,CG8303,protein_coding,CG8303
FBgn0051679,Tengl3,CG31679,protein_coding,Testis EndoG-Like 3
FBgn0040239,bc10,CG4867,protein_coding,bc10
FBgn0033322,CG8584,CG8584,protein_coding,CG8584
FBgn0030841,CG8568,CG8568,protein_coding,CG8568
FBgn0051199,CG31199,CG31199,protein_coding,CG31199
FBgn0051016,CG31016,CG31016,protein_coding,CG31016
FBgn0265803,CR44592,CR44592,ncRNA,CR44592
FBgn0035436,CG12016,CG12016,protein_coding,CG12016
FBgn0013467,igl,CG18285,protein_coding,igloo
FBgn0001224,Hsp23,CG4463,protein_coding,Heat shock protein 23
FBgn0035333,CG1317,CG1317,protein_coding,CG1317
FBgn0039639,Alg13,CG14512,protein_coding,Alg13 UDP-N-acetylglucosaminyltransferase subunit
FBgn0033312,CG8642,CG8642,protein_coding,CG8642
FBgn0030319,CG2533,CG2533,protein_coding,CG2533
FBgn0261456,hpo,CG11228,protein_coding,hippo
FBgn0039914,mav,CG1901,protein_coding,maverick
FBgn0051477,ATPsynepsilonL,CG31477,protein_coding,"ATP synthase, epsilon subunit-like"
FBgn0004784,inaC,CG6518,protein_coding,inactivation no afterpotential C
FBgn0035205,Ctr9,CG2469,protein_coding,Ctr9
FBgn0017456,Ubc84D,CG12799,protein_coding,Ubiquitin conjugating enzyme 84D
FBgn0267306,CR45742,CR45742,ncRNA,CR45742
FBgn0035160,hng3,CG13897,protein_coding,hinge3
FBgn0265688,CR44495,CR44495,ncRNA,CR44495
FBgn0039485,Jhbp11,CG17189,protein_coding,Juvenile hormone binding protein 11
FBgn0036009,Or67a,CG12526,protein_coding,Odorant receptor 67a
FBgn0051576,Ala-AGC-2-10,CR31576,tRNA,Alanine-AGC 2-10
FBgn0033762,ZnT49B,CG8632,protein_coding,Zinc transporter 49B
FBgn0053551,Arg-TCG-2-4,CR33551,tRNA,Arginine-TCG 2-4
FBgn0005655,PCNA,CG9193,protein_coding,Proliferating cell nuclear antigen
FBgn0031690,CG7742,CG7742,protein_coding,CG7742
FBgn0284419,TS26,CR46333,ncRNA, testis-specific 26
FBgn0050080,CG30080,CG30080,protein_coding,CG30080
FBgn0030882,Gss1,CG6835,protein_coding,Glutathione synthetase 1
FBgn0037149,CG14561,CG14561,protein_coding,CG14561
FBgn0265855,CR44644,CR44644,ncRNA,CR44644
FBgn0001085,fz,CG17697,protein_coding,frizzled
FBgn0015040,Cyp9c1,CG3616,protein_coding,Cytochrome P450 9c1
FBgn0263323,CR43404,CR43404,ncRNA,CR43404
FBgn0051647,CR31647,CR31647,ncRNA,CR31647
FBgn0046793,CG32236,CG32236,protein_coding,CG32236
